,PC,Address,Recency,Frequency
241,0xb7fac202,0xb7fc470c,84684.0,1
242,0xb7fac205,0x80583cc,9185.0,1
243,0xb7fac202,0xb7fc4708,84708.0,1
244,0xb7fac205,0x80583d4,9186.0,1
245,0xb7fac202,0xb7fc4750,18.0,3
246,0xb7fac205,0x80583dc,9187.0,1
247,0xb7fac202,0xb7fc475c,84672.0,30
248,0xb7fac205,0x80583e4,9188.0,1
249,0xb7fac202,0xb7fc4744,17.0,2
250,0xb7fac205,0x80583ec,9189.0,1
251,0xb7fac202,0xb7fc4748,84689.0,1
252,0xb7fac205,0x80583f4,9190.0,1
253,0xb7fac202,0xb7fc474c,14.0,1
254,0xb7fac205,0x80583fc,9191.0,1
255,0xb7fac227,0xb7fc478c,12710.0,1
256,0xb7fac205,0x8058404,9192.0,1
257,0xb7fac227,0xb7fc4788,inf,0
258,0xb7fac205,0x805840c,9193.0,1
259,0xb7fac227,0xb7fc47c4,14248.0,32
260,0xb7fac205,0x8058414,9194.0,1
261,0xb7fac283,0xbf88af58,11.0,29
262,0xb7fac289,0xb7fc46e0,1912.0,44
263,0xb7fac2f6,0x80583d8,84681.0,2
264,0xb7fac32d,0xb7fc471c,90126.0,1
265,0xb7fac34b,0x80583f8,inf,0
266,0xb7fac355,0xb7fc4778,inf,0
267,0xb7fac396,0xb7fc4798,inf,0
268,0xb7fac3b6,0xb7fc4774,1852.0,4
269,0xb7fac3ca,0xbf88aec8,11.0,50
270,0xb7fb2a70,0xb7fc4710,inf,0
271,0xb7fb2a77,0x8058398,inf,0
272,0xb7fb2a7a,0x8048128,inf,0
273,0xb7fb2a7f,0xb7fc4864,29294.0,155
274,0xb7fb2a85,0xb7fc4850,29263.0,310
275,0xb7fb2a8e,0xb7fc4860,29337.0,103
276,0xb7fb2a63,0xbf88aeb8,15.0,38
277,0xb7fb2a66,0xbf88aebc,13.0,46
278,0xb7fb2a69,0xbf88aec0,11.0,38
279,0xb7fb2a6e,0xbf88aec4,9.0,47
280,0xb7fac3cf,0xbf88b228,1934.0,19
281,0xb7fac3d9,0xb7fc3e70,154.0,3
282,0xb7fac3e5,0xbf88af68,151.0,5
283,0xb7fac400,0xbf88aed4,105.0,32
284,0xb7fac408,0xbf88aed0,20.0,133
285,0xb7fac410,0xbf88aecc,104.0,1035
286,0xb7fb3ab6,0xbf88aeb4,1.0,889
287,0xb7fb3ac4,0xbf88ae98,89.0,25
288,0xb7fb3ac7,0xbf88ae94,69.0,38
289,0xb7fb3aca,0xbf88ae90,86.0,44
290,0xb7fb3acd,0xbf88ae84,2.0,70
291,0xb7fb3ad0,0xbf88ae80,2.0,245
292,0xb7fb3ad8,0xbf88aea0,5.0,33
293,0xb7fb3adb,0xb7fc3e9c,1894.0,15
294,0xb7fb3ae3,0xbf88aea8,88.0,40
295,0xb7fb3af1,0xbf88ae88,10.0,40
296,0xb7faa7b8,0xb7fc4008,3575.0,12
297,0xb7fbd7d0,0xbf88ae7c,45.0,64
298,0xb7fbd7d3,0xbf88ae78,43.0,82
299,0xb7fbd7d4,0xbf88ae74,1.0,134
300,0xb7fbd7ec,0xbf88ae70,35.0,157
301,0xb7faa7a8,0xb7fc4004,232.0,26
302,0xb7fbd6f0,0xbf88ae6c,32.0,496
303,0xb7fbd6f3,0xbf88ae68,30.0,48
304,0xb7fbd6f4,0xbf88ae64,1.0,65
305,0xb7fbd705,0xbf88ae60,6.0,168
306,0xb7fbd710,0xbf88ae5c,22.0,51
307,0xb7faa798,0xb7fc4000,232.0,27
308,0xb7fbd5d0,0xbf88ae58,19.0,56
309,0xb7fbd5d6,0xbf88ae4c,17.0,63
310,0xb7fbd5dc,0xbf88ae30,1.0,63
311,0xb7fbd5e7,0xbf88ae50,8.0,12
312,0xb7fbd5ea,0xbf88ae54,8.0,18
313,0xb7fbd5f0,0xb7fc46a8,3.0,59
314,0xb7fbd602,0xb7fc46a4,1.0,110
315,0xb7fbd62c,0xb7fc46ac,232.0,26
316,0xb7fb3b0b,0xbf88aea4,4.0,40
317,0xb7fb3b14,0xbf88ae9c,36.0,42
318,0xb7fb3b28,0xb7fc49dc,228.0,15
319,0xb7fb3b2e,0xb7fc49d4,inf,0
320,0xb7fb3b37,0xbf88ae8c,6.0,25
321,0xb7fb3b3b,0xbf88ae94,1901.0,37
322,0xb7fbebd7,0xb7fc19fd,51.0,95
323,0xb7fbebd7,0xb7fc4c18,inf,0
324,0xb7fb3b4d,0xb7fc4c14,inf,0
325,0xb7fb3b54,0xbf88ae90,291.0,43
326,0xb7fb3b58,0xbf88ae98,40.0,24
327,0xb7fb3b5e,0xb7fc4c0c,225.0,14
328,0xb7fb3b64,0xb7fc4b4c,2.0,4
329,0xb7fb3b6b,0xb7fc49c4,2198.0,13
330,0xb7fb3b79,0xbf88aed4,5.0,31
331,0xb7fb3b7c,0xbf88aecc,21.0,1034
332,0xb7fb3b7f,0xb7fc49d8,inf,0
333,0xb7fb3b82,0xbf88aea8,177.0,39
334,0xb7fb3b85,0xb7fc4b2c,inf,0
335,0xb7fb3bb3,0xb7fc4020,9.0,35
336,0xb7fb3bbc,0xb7fc4b8c,5.0,2
337,0xb7fb3bc2,0xb7fc4b88,inf,0
338,0xb7fb3bd7,0xb7fc46ec,4.0,29
339,0xb7fb3be1,0xb7fc49d0,213.0,4
340,0xb7fb3bfe,0xb7fc4b78,12.0,1
341,0xb7fb3c04,0xb7fc4024,1.0,9
342,0xb7fb3c0f,0xb7fc42f8,1.0,9
343,0xb7fb3c16,0xb7fc42fc,1.0,9
344,0xb7fb3c97,0xbf88aed0,171.0,131
345,0xb7fb3c45,0xb7fc4b7c,inf,0
346,0xb7fb3c56,0xb7fc4b90,111.0,1
347,0xb7fb3c6b,0xbf88aeb8,100.0,36
348,0xb7fb3c6c,0xbf88aebc,100.0,44
349,0xb7fb3c6d,0xbf88aec0,100.0,36
350,0xb7fb3c6e,0xbf88aec4,100.0,45
351,0xb7fb3c6f,0xbf88aec8,89.0,47
352,0xb7fac41c,0xbf88af7c,2.0,28
353,0xb7fac42b,0xbf88af68,187.0,4
354,0xb7fac43f,0xb7fc3e70,94941.0,2
355,0xb7fac44d,0xffffe01c,inf,0
356,0xb7fac450,0xb7fc4b10,4.0,6
357,0xb7fac456,0xffffe02c,inf,0
358,0xb7fac45d,0xb7fc4b18,21.0,6
359,0xb7fac4a7,0xffffe034,187.0,2
360,0xb7fac4c9,0xb7fc49c0,3.0,7
361,0xb7fac4cf,0xffffe03c,5.0,2
362,0xb7fac4e0,0xffffe048,5.0,1
363,0xb7fac4e6,0xb7fc4b70,1.0,3
364,0xb7fac4f4,0xffffe04c,inf,0
365,0xb7fac506,0xb7fc4b74,1.0,3
366,0xb7fac4a7,0xffffe054,174.0,2
367,0xb7fac4ae,0xffffe05c,inf,0
368,0xb7fac4b1,0xb7fc49c8,25.0,2
369,0xb7fac4b4,0xffffe068,inf,0
370,0xb7fac4ba,0xb7fc4b1a,inf,0
371,0xb7fac4a7,0xffffe074,173.0,2
372,0xb7fac4a7,0xffffe094,428.0,1
373,0xb7fadd99,0xb7fc4b6c,104328.0,1
374,0xb7faddb1,0xbf88af18,22.0,21
375,0xb7faddc7,0xffffe5a8,inf,0
376,0xb7faddd8,0xb7fc4a18,46.0,6
377,0xb7fadddb,0xffffe5b0,inf,0
378,0xb7faddd8,0xb7fc49f0,25.0,1
379,0xb7fadddb,0xffffe5b8,inf,0
380,0xb7faddd8,0xb7fc49f4,43.0,7
381,0xb7fadddb,0xffffe5c0,inf,0
382,0xb7faddd8,0xb7fc49f8,inf,0
383,0xb7fadddb,0xffffe5c8,inf,0
384,0xb7faddd8,0xb7fc4a08,inf,0
385,0xb7fadddb,0xffffe5d0,inf,0
386,0xb7faddd8,0xb7fc4a0c,inf,0
387,0xb7fadddb,0xffffe5d8,inf,0
388,0xb7fade01,0xb7fc4a74,14096.0,1
389,0xb7fadddb,0xffffe5e0,inf,0
390,0xb7fade01,0xb7fc4a70,inf,0
391,0xb7fadddb,0xffffe5e8,inf,0
392,0xb7fade01,0xb7fc4aa4,14166.0,1
393,0xb7fadddb,0xffffe5f0,inf,0
394,0xb7faca2e,0xb7fc4a30,inf,0
395,0xb7faca46,0xb7fc49fc,inf,0
396,0xb7faca5a,0xb7fc4a24,inf,0
