,LFU Miss PC,LFU Miss Address
77849,0xb6629e19,0xbf888060
77850,0xb6629d60,0xb6526104
77851,0xb6629d75,0xbf888070
77852,0xb6629d8a,0xb652cb46
77853,0xb6629da3,0xb652cb44
77854,0xb6629daf,0xb652cb3c
77855,0xb6629e04,0xb652790c
77856,0xb6629d8a,0xb652cb56
77857,0xb6629da3,0xb652cb54
77858,0xb6629daf,0xb652cb4c
77859,0xb6629e04,0xb6527910
77860,0xb6629e14,0xbf888068
77861,0xb6629e19,0xbf888060
77862,0xb6629d60,0xb6526108
77863,0xb6629d75,0xbf888070
77864,0xb6629d8a,0xb652cb66
77865,0xb6629da3,0xb652cb64
77866,0xb6629daf,0xb652cb5c
77867,0xb6629e04,0xb6527914
77868,0xb6629d8a,0xb652cb76
77869,0xb6629da3,0xb652cb74
77870,0xb6629daf,0xb652cb6c
77871,0xb6629e04,0xb6527918
77872,0xb6629e14,0xbf888068
77873,0xb6629e19,0xbf888060
77874,0xb6629d60,0xb652610c
77875,0xb6629e14,0xbf888068
77876,0xb6629e19,0xbf888060
77877,0xb6629d60,0xb6526110
77878,0xb6629d75,0xbf888070
77879,0xb6629d8a,0xb652cb86
77880,0xb6629da3,0xb652cb84
77881,0xb6629daf,0xb652cb7c
77882,0xb6629dc8,0xb652cb80
77883,0xb6629e04,0xb652791c
77884,0xb6629d8a,0xb652cb96
77885,0xb6629da3,0xb652cb94
77886,0xb6629daf,0xb652cb8c
77887,0xb6629e04,0xb6527920
77888,0xb6629d8a,0xb652cba6
77889,0xb6629da3,0xb652cba4
77890,0xb6629daf,0xb652cb9c
77891,0xb6629e04,0xb6527924
77892,0xb6629e14,0xbf888068
77893,0xb6629e19,0xbf888060
77894,0xb6629d60,0xb6526114
77895,0xb6629d75,0xbf888070
77896,0xb6629d8a,0xb652cbb6
77897,0xb6629da3,0xb652cbb4
77898,0xb6629daf,0xb652cbac
77899,0xb6629e04,0xb6527928
77900,0xb6629d8a,0xb652cbc6
77901,0xb6629da3,0xb652cbc4
77902,0xb6629daf,0xb652cbbc
77903,0xb6629e04,0xb652792c
77904,0xb6629e14,0xbf888068
77905,0xb6629e19,0xbf888060
77906,0xb6629d60,0xb6526118
77907,0xb6629d75,0xbf888070
77908,0xb6629d8a,0xb652cbd6
77909,0xb6629da3,0xb652cbd4
77910,0xb6629daf,0xb652cbcc
77911,0xb6629e04,0xb6527930
77912,0xb6629d8a,0xb652cbe6
77913,0xb6629da3,0xb652cbe4
77914,0xb6629daf,0xb652cbdc
77915,0xb6629dc8,0xb652cbe0
77916,0xb6629e04,0xb6527934
77917,0xb6629d8a,0xb652cbf6
77918,0xb6629da3,0xb652cbf4
77919,0xb6629daf,0xb652cbec
77920,0xb6629e04,0xb6527938
77921,0xb6629d8a,0xb652cc06
77922,0xb6629da3,0xb652cc04
77923,0xb6629daf,0xb652cbfc
77924,0xb6629e04,0xb652793c
77925,0xb6629e14,0xbf888068
77926,0xb6629e19,0xbf888060
77927,0xb6629d60,0xb652611c
77928,0xb6629d75,0xbf888070
77929,0xb6629d8a,0xb652cc16
77930,0xb6629da3,0xb652cc14
77931,0xb6629daf,0xb652cc0c
77932,0xb6629dc8,0xb652cc10
77933,0xb6629e04,0xb6527940
77934,0xb6629d8a,0xb652cc26
77935,0xb6629da3,0xb652cc24
77936,0xb6629daf,0xb652cc1c
77937,0xb6629e04,0xb6527944
77938,0xb6629e14,0xbf888068
77939,0xb6629e19,0xbf888060
77940,0xb6629d60,0xb6526120
77941,0xb6629d75,0xbf888070
77942,0xb6629d8a,0xb652cc36
77943,0xb6629da3,0xb652cc34
77944,0xb6629daf,0xb652cc2c
77945,0xb6629e04,0xb6527948
77946,0xb6629d8a,0xb652cc46
77947,0xb6629da3,0xb652cc44
77948,0xb6629daf,0xb652cc3c
77949,0xb6629e04,0xb652794c
77950,0xb6629e14,0xbf888068
77951,0xb6629e19,0xbf888060
77952,0xb6629d60,0xb6526124
77953,0xb6629d75,0xbf888070
77954,0xb6629d8a,0xb652cc56
77955,0xb6629da3,0xb652cc54
77956,0xb6629daf,0xb652cc4c
77957,0xb6629e04,0xb6527950
77958,0xb6629e14,0xbf888068
77959,0xb6629e19,0xbf888060
77960,0xb6629d60,0xb6526128
77961,0xb6629d75,0xbf888070
77962,0xb6629d8a,0xb652cc66
77963,0xb6629da3,0xb652cc64
77964,0xb6629daf,0xb652cc5c
77965,0xb6629e04,0xb6527954
77966,0xb6629d8a,0xb652cc76
77967,0xb6629da3,0xb652cc74
77968,0xb6629daf,0xb652cc6c
77969,0xb6629e04,0xb6527958
77970,0xb6629e14,0xbf888068
77971,0xb6629e19,0xbf888060
77972,0xb6629d60,0xb652612c
77973,0xb6629d75,0xbf888070
77974,0xb6629d8a,0xb652cc86
77975,0xb6629da3,0xb652cc84
77976,0xb6629daf,0xb652cc7c
77977,0xb6629dc8,0xb652cc80
77978,0xb6629e04,0xb652795c
77979,0xb6629d8a,0xb652cc96
77980,0xb6629da3,0xb652cc94
77981,0xb6629daf,0xb652cc8c
77982,0xb6629e04,0xb6527960
77983,0xb6629d8a,0xb652cca6
77984,0xb6629da3,0xb652cca4
77985,0xb6629daf,0xb652cc9c
77986,0xb6629dc8,0xb652cca0
77987,0xb6629e04,0xb6527964
77988,0xb6629e14,0xbf888068
77989,0xb6629e19,0xbf888060
77990,0xb6629d60,0xb6526130
77991,0xb6629d75,0xbf888070
77992,0xb6629d8a,0xb652ccb6
77993,0xb6629da3,0xb652ccb4
77994,0xb6629daf,0xb652ccac
77995,0xb6629e04,0xb6527968
77996,0xb6629e14,0xbf888068
77997,0xb6629e19,0xbf888060
77998,0xb6629d60,0xb6526134
77999,0xb6629d75,0xbf888070
78000,0xb6629d8a,0xb652ccc6
78001,0xb6629da3,0xb652ccc4
78002,0xb6629daf,0xb652ccbc
78003,0xb6629e04,0xb652796c
78004,0xb6629d8a,0xb652ccd6
78005,0xb6629da3,0xb652ccd4
78006,0xb6629daf,0xb652cccc
78007,0xb6629e04,0xb6527970
78008,0xb6629d8a,0xb652cce6
78009,0xb6629da3,0xb652cce4
78010,0xb6629daf,0xb652ccdc
78011,0xb6629e04,0xb6527974
78012,0xb6629e14,0xbf888068
78013,0xb6629e19,0xbf888060
78014,0xb6629d60,0xb6526138
78015,0xb6629e14,0xbf888068
78016,0xb6629e19,0xbf888060
78017,0xb6629d60,0xb652613c
78018,0xb6629e14,0xbf888068
78019,0xb6629e19,0xbf888060
78020,0xb6629d60,0xb6526140
78021,0xb6629d75,0xbf888070
78022,0xb6629d8a,0xb652ccf6
78023,0xb6629da3,0xb652ccf4
78024,0xb6629daf,0xb652ccec
78025,0xb6629dc8,0xb652ccf0
78026,0xb6629e04,0xb6527978
78027,0xb6629d8a,0xb652cd06
78028,0xb6629da3,0xb652cd04
78029,0xb6629daf,0xb652ccfc
78030,0xb6629e04,0xb652797c
78031,0xb6629d8a,0xb652cd16
78032,0xb6629da3,0xb652cd14
78033,0xb6629daf,0xb652cd0c
78034,0xb6629dc8,0xb652cd10
78035,0xb6629e04,0xb6527980
