,LFU Miss Address
1079,0xbfe9d3dc
1080,0xfd0de9
1081,0xbfe9c7f4
1082,0xbfe9c7fc
1083,0xbfe9c848
1084,0xbfe9c7f8
1085,0xbfe9c7f4
1086,0xbfe9c7f8
1087,0xbfe9c7fc
1088,0xbfe9d3db
1089,0xfd0ded
1090,0xbfe9d3dc
1091,0xfd0dee
1092,0xbfe9c7f4
1093,0xbfe9c7fc
1094,0xbfe9c848
1095,0xbfe9c7f8
1096,0xbfe9c7fc
1097,0xbfe9d3db
1098,0xfd0df2
1099,0xbfe9d3dc
1100,0xfd0df3
1101,0xbfe9c7fc
1102,0xbfe9c848
1103,0xbfe9c7f8
1104,0xbfe9c7fc
1105,0xbfe9d3db
1106,0xfd0df7
1107,0xbfe9d3dc
1108,0xfd0df8
1109,0xbfe9d3dd
1110,0xfd0df9
1111,0xbfe9d3de
1112,0xfd0dfa
1113,0xbfe9d3df
1114,0xfd0dfb
1115,0xbfe9c84c
1116,0xbfe9c850
1117,0xbfe9c84c
1118,0xbfe9c850
1119,0xfd0cdc
1120,0xfd0ce4
1121,0xbfe9c840
1122,0xbfe9c844
1123,0xbfe9c878
1124,0xbfe9c854
1125,0xb74ca9fc
1126,0xbfe9c820
1127,0xb74ce4cc
1128,0xbfe9c86c
1129,0xbfe9c854
1130,0xbfe9c7f0
1131,0xbfe9c7ec
1132,0xbfe9c7e8
1133,0xbfe9c7e4
1134,0xbfe9c7e0
1135,0x8048c69
1136,0xb74d87ce
1137,0xbfe9c7e4
1138,0xbfe9c7e0
1139,0xbfe9c7e4
1140,0xbfe9c7e0
1141,0x8048c6a
1142,0xb74d87cf
1143,0xbfe9c7e4
1144,0xbfe9c7e0
1145,0xbfe9c7e4
1146,0xbfe9c7e0
1147,0x8048c6b
1148,0xb74d87d0
1149,0xbfe9c7e0
1150,0x8048c6c
1151,0xb74d87d1
1152,0xbfe9c7e8
1153,0xbfe9c7ec
1154,0xbfe9c7f0
1155,0xfd1470
1156,0xbfe9c820
1157,0xb74cc75c
1158,0xbfe9c86c
1159,0xbfe9c854
1160,0xbfe9c7f0
1161,0xbfe9c7ec
1162,0xbfe9c7e8
1163,0xb74d5100
1164,0x8048c6a
1165,0xb74d5101
1166,0x8048c6b
1167,0xb74d5102
1168,0x8048c6c
1169,0xb74d5103
1170,0xbfe9c7e8
1171,0xbfe9c7ec
1172,0xbfe9c7f0
1173,0xfd1470
1174,0xbfe9c820
1175,0xb74cb8a4
1176,0xbfe9c86c
1177,0xbfe9c854
1178,0xbfe9c7f0
1179,0xbfe9c7ec
1180,0xbfe9c7e8
1181,0xb74d383b
1182,0x8048c6a
1183,0xb74d383c
1184,0x8048c6b
1185,0xb74d383d
1186,0x8048c6c
1187,0xb74d383e
1188,0xbfe9c7e8
1189,0xbfe9c7ec
1190,0xbfe9c7f0
1191,0xfd1470
1192,0xbfe9c820
1193,0xb74cbff4
1194,0xbfe9c86c
1195,0xbfe9c854
1196,0xbfe9c7f0
1197,0xbfe9c7ec
1198,0xbfe9c7e8
1199,0xb74d43ef
1200,0x8048c6a
1201,0xb74d43f0
1202,0x8048c6b
1203,0xb74d43f1
1204,0x8048c6c
1205,0xb74d43f2
1206,0xbfe9c7ec
1207,0xbfe9c7f0
1208,0xfd1470
1209,0xbfe9c820
1210,0xb74cbc4c
1211,0xbfe9c86c
1212,0xbfe9c854
1213,0xb74d3dd7
1214,0x8048c6a
1215,0xb74d3dd8
1216,0x8048c6b
1217,0xb74d3dd9
1218,0x8048c6c
1219,0xb74d3dda
1220,0x8048c6d
1221,0xb74d3ddb
1222,0xfd1470
1223,0xb74cba6c
1224,0xbfe9c86c
1225,0xbfe9c854
1226,0xb74d3aea
1227,0x8048c6a
1228,0xb74d3aeb
1229,0x8048c6b
1230,0xb74d3aec
1231,0x8048c6c
1232,0xb74d3aed
1233,0x8048c6d
1234,0xb74d3aee
